,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
2754,85264983622,CHUWI,Intel Celeron N4020,14.1 in,Gray,8 GB,1 tb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,chuwi,windows 11 home,256 gb,SSD,"Built-in Microphone, Built-in Webcam",New,No note from seller,$202.45 
2756,85264983624,Dell,Intel Core i7 13th Gen.,16 in,Silver,32 GB,1 tb,Intel,3.70 GHz,Notebook/Laptop,2560 x 1600,dell,windows 11 home,1 tb,SSD,"Touchscreen, Bluetooth, Backlit Keyboard",Not Available,No note from seller,$699.99 
2758,85264983626,Lenovo,Intel Core i7 12th Gen.,16 in,Gray,16 GB,512 gb,NVIDIA,4.70 GHz,Notebook/Laptop,2560 x 1600,not available,windows 11 home,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$899.99 
2759,85264983627,Acer,MediaTek MT8173C,13.3 in,Silver,4 GB,32 gb,PowerVR,2.10 GHz,Notebook/Laptop,1920 x 1080,acer,Chrome OS,32 gb,eMMC,"Touchscreen, Bluetooth, Built-in Webcam",Not Available,No note from seller,$52.99 
2768,85264983636,Lenovo,Intel Celeron N,11.6 in,Black,4 GB,128 gb,Intel,1.60 GHz,Notebook/Laptop,1366 x 768,lenovo,windows 10 pro,128 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Used,"“Good Condition. Renewed Lenovo Laptop w/ 90-Day Warranty. May show signs of normal wear, light ...  Read moreabout the seller notes“Good Condition. Renewed Lenovo Laptop w/ 90-Day Warranty. May show signs of normal wear, light scratches, scuffs, etc” Read Lessabout the seller notes ",$99.99 
2769,85264983637,Acer,Intel Core i5 12th Gen.,17.3 in,Black,8 GB,512 gb,NVIDIA,4.00 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,512 gb,SSD,"10/100 LAN Card, Built-in Webcam, Bluetooth, Wi-Fi, Built-in Microphone, Widescreen Display",Not Available,No note from seller,$649.95 
2771,85264983639,Dell,Intel Core i7 10th Gen.,14 in,Black,16 GB,1 tb,Intel,4.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,1 tb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Very Good,“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely in a ...  Read moreabout the seller notes“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely in a new brown box to ensure a great delivery experience. Minimal imperfections may be present such as light scuffs. Genuine AC adapter & battery included with your order.” Read Lessabout the seller notes ,$455.00 
2777,85264983645,Gateway,Intel Core i7 12th Gen.,14.1 in,Black,8 GB,512 gb,Intel,2.80 - 4.70 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 home,512 gb,SSD,Touchscreen,New,No note from seller,$362.50 
2790,85264983658,Lenovo,Intel Celeron N3050,11.6 in,Black,4 GB,16 gb,Intel,1.60 GHz,Netbook,1366 x 768,lenovo,Chrome OS,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi",Used,"“Factory reset and tested to power on properly. May have scuffs, edge chips, writing, stickers or ...  Read moreabout the seller notes“Factory reset and tested to power on properly. May have scuffs, edge chips, writing, stickers or residue, dust / dirt, or minor bright spots / scratches on screens. No missing hinge covers. Batteries not tested - batteries as is. Each lot includes 10 Chromebooks and 10 chargers. No other accessories included. They are on their final Google update.” Read Lessabout the seller notes ",$208.99 
2791,85264983659,Dell,Intel Pentium M,15.4 in,Silver,2 GB,120 gb,ATI,1.73 GHz,Notebook/Laptop,1680 x 1050,dell,windows xp,120 gb,HDD,"10/100 LAN Card,  5G,  Built-in Microphone,  Multi-Touch Trackpad,  Optical Drive,  Rugged,  Widescreen Display,  Wi-Fi,  Serial D-SUB",Used,“Great condition! Complete with good working battery & power supply / charger. Internal DVD-RW. ...  Read moreabout the seller notes“Great condition! Complete with good working battery & power supply / charger. Internal DVD-RW. Nothing missing & nothing broken. No scratches or issues with screen.” Read Lessabout the seller notes ,$124.90 
2795,85264983663,Lenovo,Intel Core i5 13th Gen.,16 in,Gray,16 GB,512 gb,Intel,1.30 GHz,Notebook/Laptop,1920 x 1200,lenovo,windows 11 home,512 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, IPS Panel, Multi-Touch Trackpad, Convertible 2-in-1 Laptop/Tablet, Backlit Keyboard, Built-in Microphone, Stylus",Not Available,No note from seller,$699.99 
2797,85264983665,HP,12th Gen Intel Core i5-12450H,15.6 inches,Silver,64 GB,2 tb,NVIDIA,4.40 GHz,Gaming Laptop Computers,1920 x 1080,hp,windows 11 home,2tb,SSD,"Numeric Keypad, Audio by B&O, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",New,No note from seller,"$699.00 to $1,089.00"
2798,85264983666,Microsoft,Intel Core i5 10th Gen.,13.5 in,Silver,8 GB,256 gb,Intel,1.50 GHz,Notebook/Laptop,2256 x 1504,microsoft,windows 10 pro,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen",Used,“Extremely Clean. No Scratches. See Photos & Description”,$259.84 
2801,85264983669,GPD,Intel Core m3 7th Gen.,7 in,Silver,8 GB,128 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1200,gdp,windows 10,0,eMMC,Touchscreen,Used,“Please be sure to read the description before purchasing.There are scratches and scuffs from ...  Read moreabout the seller notes“Please be sure to read the description before purchasing.There are scratches and scuffs from use.There are what appear to be disassembly marks.The only accessories are the ones shown in the photos.Please check the photos for condition and accessories.A simple cleaning will be performed upon shipping.” Read Lessabout the seller notes ,$348.99 
2803,85264983671,Lenovo,Intel Core i7 8th Gen.,14 in,Gray,16 GB,512 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen, Wi-Fi",Used,"“Grade BLCD - Laptop will have cosmetic blemishes that include scratches and/or other surface ...  Read moreabout the seller notes“Grade BLCD - Laptop will have cosmetic blemishes that include scratches and/or other surface imperfections. Some laptops may exhibit shiny keys on the keyboard and/or shiny surfaces around the keyboard. All key characters will be legible. The LCD will have minor blemishes such as minor white spots, impressions, or a small hairline scratch. Batteries are in good health. Grade BLCD units will typically be priced lower than the Grade A equivalent and will have the same warranty as all products.” Read Lessabout the seller notes ",$334.99 
2804,85264983672,Lenovo,AMD,"13.3""",Black,8 GB,512 gb,AMD,2.3 GHz,Laptop,1920 x 1080,thinkpad,windows 11 pro,512 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi",New,No note from seller,$379.00 
2806,85264983674,XPLORE,Intel Core i7,10.4 in,Unknown,4 GB,120 gb,Intel,1.07 GHz,Tablet,1366 x 768,not available,windows 7 pro,120 gb,SSD,"10/100 LAN Card,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  HSDPA,  Rugged,  Touchscreen",Used,"“These are lease return units in Good Condition , comes with stylus pen and win7 installed ready to ...  Read moreabout the seller notes“These are lease return units in Good Condition , comes with stylus pen and win7 installed ready to use !!!!” Read Lessabout the seller notes ",$170.55 
2807,85264983675,Samsung,Qualcomm Snapdragon 7c Gen 2,14 in,Silver,4 GB,64 gb,Qualcomm,2.55 GHz,Notebook/Laptop,1920 x 1080,samsung,windows 10,64 gb,SSD,Built-in Microphone,Not Available,No note from seller,$159.00 
2808,85264983676,HP,Intel Core i7,15.6 in,Silver,8 GB,256 gb,NVIDIA,2.20 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,256 gb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touch Bar,  Wi-Fi",Used,"“Completely refur with new O/S load, tested, and complete with new ac power adapter”",$135.00 
2817,85264983685,HP,Intel Core i5 11th Gen.,14 in,Silver,16 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,elitebook,windows 10 pro,256 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,No note from seller,$350.00 
2820,85264983688,Lenovo,Intel Core i5 6th Gen.,15 in,Black,16 GB,256 gb,Intel,2.40 GHz,Netbook,1920 x 1080,lenovo,windows 11 pro,256 gb,SSD,"Backlit Keyboard, Bluetooth, 3D Camera, Wi-Fi, Touch ID",Used,No note from seller,$149.00 
2821,85264983689,HP,Intel Celeron N,11.6 in,Gray,4 GB,16 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,16 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi, Integrated Stereo Speakers, Spill-Resistant Keyboard",Used,No note from seller,$39.00 
2822,85264983690,Lenovo,Intel Celeron N,"11.6""",Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,lenovo,windows 10,128 gb,SSD,Touchscreen,Used,"“Fully Tested & Functional SCRATCHED AND DENTED-Item will contain some small corner cracks on front ...  Read moreabout the seller notes“Fully Tested & Functional SCRATCHED AND DENTED-Item will contain some small corner cracks on front lid or bottom of the actual computer, the corners may have bends as well.The screen will have some minor scuff or hairline scratches but is working . Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in bad physical condition. The charger is tested and included and may show sign of use” Read Lessabout the seller notes ",$98.00 
2823,85264983691,Chuwi,Intel Celeron N4020,14.1 in,Gray,8 GB,256 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,chuwi,windows 11 home,256 gb,SSD,Wi-Fi,New,No note from seller,$192.99 
2825,85264983693,HP,Intel Core i7 8th Gen.,17.3 in,Silver,64 GB,1 tb,NVIDIA,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,64 gb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi",Used,No note from seller,$645.00 
2826,85264983694,Dell,Intel Core i5,15.6 in,Black,16 GB,500 gb,Intel,2.50 GHz,Notebook/Laptop,1920 x 1080,not available,Linux,500 gb,SSD,Wi-Fi,Used,“Light scuffs to the housing and body from normal use.  No screen damage or imperfections.  Each ...  Read moreabout the seller notes“Light scuffs to the housing and body from normal use.  No screen damage or imperfections.  Each laptop is hand tested before shipping.” Read Lessabout the seller notes ,$439.99 
2830,85264983698,Lenovo,Intel Core i7 12th Gen.,16.0 in,Gray,16 GB,512 gb,Intel,4.70 GHz,Notebook/Laptop,2560 x 1600,not available,windows 11,512 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi,  Fingerprint Reader,  Webcam Kill Switch",Used,"“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND ...  Read moreabout the seller notes“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND NEW condition and is backed by a Lenovo Factory Warranty. Looks just ""Like New"" Sealed in a LENOVO box. LENOVO warranty card. All original accessories included! You wont see a difference. SAVE BIG!!!” Read Lessabout the seller notes ",$616.40 
2832,85264983699,Lenovo,Intel Core i3 11th Gen.,14 in,Gray,4 GB,128 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,128 gb,SSD,"5G, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$259.00 
2840,85264983703,Lenovo,11 Gen intel Core i3,14 in,Black,8 GB,128 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,128 gb,SSD,Touchscreen,Used,No note from seller,$249.00 
2848,85264983707,Dell,Intel Core i7 7th Gen.,15.6 in,Black,16 GB,512 gb,Intel,2.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$329.00 
2860,85264983713,Dell,Intel Core i7 8th Gen.,15.6 in,Unknown,512 GB,512 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,SSD,Wi-Fi,Excellent,“Fully tested great condition one year warranty”,$329.99 
2869,85264983718,HP,Intel Core i7 8th Gen.,14 in,Silver,32 GB,1 tb,Intel,4.20 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,1 tb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Very Good,“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely in a ...  Read moreabout the seller notes“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely in a new brown box to ensure a great delivery experience. Minimal imperfections may be present such as light scuffs. Genuine AC adapter & battery included with your order.” Read Lessabout the seller notes ,$494.99 
2876,85264983725,Lenovo,Intel Celeron,14 in,Blue,4 GB,64 gb,Intel,1.10 GHz,Chromebook,1366 x 768,lenovo,Chrome OS,64 gb,eMMC,"Bluetooth, Wi-Fi",Used,No note from seller,$128.99 
2909,85264983738,Different,Intel Core i3/i5,"12.5"" or above",Unknown,16 GB,1 tb,Intel,1.70 GHz,Notebook/Laptop,1366 x 768,various,windows 10/11 pro,1 tb,HDD/SSD,"Built-in Webcam, Widescreen Display, Wi-Fi",Good,"“Very good condition. Photos are for illustration purpose, May have some sign on previous use, i.e. ...  Read moreabout the seller notes“Very good condition. Photos are for illustration purpose, May have some sign on previous use, i.e. small scratches on lid and outer body.” Read Lessabout the seller notes ",$113.87 to $417.57
2916,85264983745,Chuwi,INTEL Core i7-7Y75,13 in,Gray,8 GB,256 gb,Intel,3.6GHz,Notebook/Laptop,2160 x 1440,chuwi,windows 11 home,256 gb,SSD,"Backlit Keyboard, Built-in Microphone, Built-in Webcam",New,No note from seller,$399.99 
2921,85264983750,HP,Intel Pentium N4200,11.6 in,Gray,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,hp,windows 10 pro,128 gb,SSD,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, touc",Used,No note from seller,$129.99 
2926,85264983755,Dell,Intel Core i7 11th Gen.,14 in,Unknown,16 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,16 gb,SSD,"Built-in Microphone,  Built-in Webcam",New,No note from seller,$599.00 
2927,85264983756,Lenovo,Intel Celeron N,11.6 in,Black,4 GB,64 gb,Intel,1.1 GHz,Subnotebook/Ultraportable,1366 x 768,lenovo,windows 10,64 gb,eMMC,Touchscreen,Used,"“Body Excellent, PLEASE READ DESCRIPTION BEFORE PURCHASING!”",$79.99 
2928,85264983757,HP,Intel Core i7 9th Gen.,15.6 in,Black,64 GB,2 tb,NVIDIA,4.70 GHz,Notebook/Laptop,3840 x 2160,hp,windows 11 home,4 tb,HDD/SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,No note from seller,"$1,200.00 "
2929,85264983758,Samsung,Intel Core i5 10th Gen.,13.3 in,Red,8 GB,256 gb,Intel,1.60 GHz,Notebook/Laptop,3840 x 2160,samsung,Chrome OS,256 gb,SSD,"Bluetooth, Stylus, Touchscreen, Wi-Fi",Used,No note from seller,$349.99 
2932,85264983761,ASUS,Intel Core i3 11th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,asus,windows 11 home,256 gb,SSD,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",Not Available,No note from seller,$292.95 
2942,85264983771,HP,Intel Core i5-1135G7,14 in,Gold,64 GB,2 tb,Intel,4.20 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,2tb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi, Dual Speakers",New,No note from seller,$559.00 to $779.00
2948,85264983777,Dell,Intel Core i5 6th Gen.,14 in,Black,16 GB,512 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,512 gb,SSD,"Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Bluetooth 4.2,  802.11ac Wi-Fi",Used,“Excellent refurbished condition with minor signs of wear. May have a protective skin on cover as ...  Read moreabout the seller notes“Excellent refurbished condition with minor signs of wear. May have a protective skin on cover as show in the pictures.” Read Lessabout the seller notes ,$199.99 
2951,85264983780,Microsoft,Microsoft SQ2,13 in,Black,16 GB,256 gb,Qualcomm,1.80 GHz,Notebook/Laptop,2880 x 1920,microsoft,windows 11 home,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Touchscreen,  Wi-Fi",Used,No note from seller,$519.99 
2952,85264983781,HP,Intel Core i5 11th Gen.,15.6 in,Silver,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 home,256 gb,SSD,"Widescreen Display, Backlit Keyboard, Touchscreen, Convertible 2-in-1 Laptop/Tablet, Multi-Touch Trackpad, Bluetooth, Built-in Microphone, 10/100 LAN Card, Touch ID, Built-in Webcam, Wi-Fi",Not Available,No note from seller,$379.90 
2957,85264983786,Lenovo,AMD Ryzen 5,14 in,Black,32 GB,512 gb,AMD,2.00 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,512 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,“100% Factory Reset to Default Settings | 100% Functional | Tested by in-house Certified Technician ...  Read moreabout the seller notes“100% Factory Reset to Default Settings | 100% Functional | Tested by in-house Certified Technician | Professionally Maintained | Well Packaged | Genuine Photos | Buy with Confidence |” Read Lessabout the seller notes ,$239.00 
2966,85264983795,Microsoft,Microsoft SQ2,13 in,Black,16 GB,256 gb,Qualcomm,1.80 GHz,Notebook/Laptop,2880 x 1920,microsoft,windows 11 home,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Touchscreen,  Wi-Fi",Used,No note from seller,$509.99 
2967,85264983796,Lenovo,Intel Core i7 8th Gen.,13 in,Black,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,3000 x 2000,lenovo,windows 11 pro,256 gb,SSD,LTE,Excellent,"“Includes AC adapter, pen and keyboard.”",$419.99 
2969,85264983798,Dell,Intel Celeron,11.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10,128 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen",Used,"“Good Condition. Renewed Dell Touchscreen Laptop w/ 90-Day Warranty. May show signs of normal wear, ...  Read moreabout the seller notes“Good Condition. Renewed Dell Touchscreen Laptop w/ 90-Day Warranty. May show signs of normal wear, light scratches, scuffs, etc.” Read Lessabout the seller notes ",$139.99 
2973,85264983802,Acer,Intel Core i5 11th Gen.,15.6 in,Black,16 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,512 gb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",New,No note from seller,$629.00 
2976,85264983805,Lenovo,Intel Core i5 11th Gen.,13.5 in,Silver,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,2256 x 1504,lenovo,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",Not Available,No note from seller,$549.99 
2977,85264983806,Dell,Intel Core i7 11th Gen.,14 in,Gray,16 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,256 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,"“The system is fully functional. The screen cover is in good condition. The screen is in good ...  Read moreabout the seller notes“The system is fully functional. The screen cover is in good condition. The screen is in good condition. The keyboard is in good condition. The laptop has been tested and works as intended. The bottom case is in good condition. This unit has a warranty until DEC 2024. Items in similar conditions will come. The laptop comes with Windows 11 Pro, an Intel i7-1185G7 3.00GHz processor, 16GB DDR4 RAM, 256GB M.2 NVMe SSD, a 14"" screen with 1920x1080 resolution, and Iris Xe Graphics. Comes with an AC. Please see the pictures for more information.” Read Lessabout the seller notes ",$349.99 
2983,85264983812,Dell,Intel Core i7 13th Gen.,"15.6""",Silver,32 GB,512 gb,NVIDIA,3.80 GHz,Notebook/Laptop,1920 x 1200,precision,windows 11 pro,32 gb,SSD,Wi-Fi,Excellent,“The laptop is manufacturer refurbished directly from Dell with a fully transferable warranty.”,"$1,799.99 "
2988,85264983817,HP,Intel Celeron,14 in,Blue,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,64 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Convertible 2-in-1 Laptop/Tablet, Built-in Microphone",Not Available,No note from seller,$180.00 
2996,85264983825,Microsoft,Intel Pentium Gold,10.5 in,Silver,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1920 x 1280,microsoft,windows 10 pro,64 gb,SSD,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Built-in Microphone",Not Available,No note from seller,$119.95 
3000,85264983829,HP,Intel Core i5 11th Gen.,15.6 in,Silver,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 home,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",New,No note from seller,$360.00 
3004,85264983833,Dell,Intel Core i5 7th Gen.,15.6 in,Black,32 GB,256 gb,Intel,3.10 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 home,256 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Very Good,"“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has ...  Read moreabout the seller notes“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.” Read Lessabout the seller notes ",$362.00 
3006,85264983835,Lenovo,Intel Core i5 6th Gen.,15 in,Black,16 GB,256 gb,Intel,2.40 GHz,Netbook,1920 x 1080,lenovo,windows 11 pro,256 gb,SSD,"Backlit Keyboard,  Bluetooth,  3D Camera,  Wi-Fi,  Touch ID",Used,No note from seller,$149.00 
3008,85264983837,ASUS,Intel Core i7 7th Gen.,15.6 in,Black,16 GB,2 tb,NVIDIA,2.70 GHz,Notebook/Laptop,3840 x 2400,not available,windows 10,16 gb,SSD,"Backlit Keyboard, Built-in Webcam, Touchscreen",Used,No note from seller,$379.95 
3012,85264983841,HP,Intel Celeron N,11.6 in,Gray,4 GB,16 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi,  Integrated Stereo Speakers,  Spill-Resistant Keyboard",Used,No note from seller,$39.00 
3013,85264983842,Acer,Intel Core i5 11th Gen.,15.6 in,Black,16 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,512 gb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",New,No note from seller,$629.00 
3016,85264983845,Lenovo,Intel Celeron N,"11.6""",Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,lenovo,windows 10,128 gb,SSD,Touchscreen,Used,"“Fully Tested & Functional SCRATCHED AND DENTED-Item will contain some small corner cracks on front ...  Read moreabout the seller notes“Fully Tested & Functional SCRATCHED AND DENTED-Item will contain some small corner cracks on front lid or bottom of the actual computer, the corners may have bends as well.The screen will have some minor scuff or hairline scratches but is working . Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in bad physical condition. The charger is tested and included and may show sign of use” Read Lessabout the seller notes ",$98.00 
3017,85264983846,Chuwi,Intel Celeron N4020,14.1 in,Gray,8 GB,256 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,chuwi,windows 11 home,256 gb,SSD,Wi-Fi,New,No note from seller,$192.99 
3021,85264983850,Gateway,Intel Pentium,15.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,128 gb,eMMC,"Touchscreen, Built-in Webcam, Bluetooth, Built-in Microphone",Not Available,No note from seller,$139.99 
3024,85264983853,Dell,Intel Core i7 13th Gen.,14 in,Silver,16 GB,512 gb,Intel,3.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",New,No note from seller,$825.00 
3026,85264983855,Lenovo,Intel Core i5 11th Gen.,13.5 in,Silver,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,2256 x 1504,lenovo,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard",Not Available,No note from seller,$549.99 
3027,85264983856,Microsoft,Intel Core i5 10th Gen.,13.5 in,Silver,8 GB,256 gb,Intel,1.50 GHz,Notebook/Laptop,2256 x 1504,microsoft,windows 10 pro,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",Used,“Extremely Clean. No Scratches. See Photos & Description”,$259.84 
3033,85264983862,Lenovo,11 Gen intel Core i3,14 in,Black,8 GB,128 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,128 gb,SSD,Touchscreen,Used,No note from seller,$249.00 
3034,85264983863,Lenovo,AMD Ryzen 7 Pro 3700U,14 in,Black,16 GB,512 gb,AMD,2.30 GHz,Notebook/Laptop,1920 x 1080,thinkpad,windows 11 pro,16 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,"“Professionally Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, ...  Read moreabout the seller notes“Professionally Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). Include an Original AC adapter. Model” Read Lessabout the seller notes ",$299.00 
