,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
5435,85264986226,Lenovo,AMD A6-9220E,14 in,Gray,4 GB,64 gb,AMD,1.60 GHz,Notebook/Laptop,1366 x 768,not available,windows 10,64 gb,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card",Not Available,No note from seller,$149.00 
5494,85264986285,Dell,Intel Core i7 12th Gen.,16 in,Green,40 GB,1 tb,Intel,4.70 GHz,Notebook/Laptop,3072 x 1920,dell,windows 11 home,1 tb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$425.00 
5501,85264986292,Fujitsu,Intel Core i5 4th Gen.,12.5in.,Silver/Black,4 GB,120 gb,NVIDIA,2.50 GHz,Notebook,1920 x 1080,not available,windows 10,120 gb,HDD,"Bluetooth, Built-in Webcam, Touchscreen",Used,“Fujitsu LifeBook T734 TOUCH i5 4200M 4GB RAM 120GB SSD Win 10 Pro WITH COMPATIBLE  AC-ADAPTER. ITEM ...  Read moreabout the seller notes“Fujitsu LifeBook T734 TOUCH i5 4200M 4GB RAM 120GB SSD Win 10 Pro WITH COMPATIBLE  AC-ADAPTER. ITEM BATTERY HOLD CHARGE AND HEAVY USED ITEM” Read Lessabout the seller notes ,$99.00 
5509,85264986300,Dell,Intel Core i5 8th Gen.,15.6 in,Black,32 GB,512 gb,NVIDIA,2.50 GHz,Notebook,1920 x 1080,precision,windows 10,512 gb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Built-in Webcam,  Rugged",Used,"“These are off lease units in Great condition Grade A, Original Pics of stock Photos are posted on ...  Read moreabout the seller notes“These are off lease units in Great condition Grade A, Original Pics of stock Photos are posted on the listing , All are in great shape !!!!” Read Lessabout the seller notes ",$399.99 
5523,85264986314,HP,Intel Celeron N,14 in,White,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 home,64 gb,eMMC,Built-in Microphone,Not Available,No note from seller,$195.00 
5536,85264986327,Toshiba,Intel Core Duo,15.6 in,Unknown,4 GB,0,Intel,1.87 GHz,Notebook/Laptop,1366 x 768,not available,windows vista,500 gb,HDD,"Built-in Microphone, Built-in Webcam, Optical Drive, Widescreen Display, Wi-Fi",Used,No note from seller,$94.94 
5683,85264986474,HP,Intel Celeron,11.6 in,Gray,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1280 x 800,samsung,Chrome OS,16 gb,SSD,"Built-in Webcam, Wi-Fi",Used,No note from seller,$45.00 
5690,85264986481,SGIN,Intel Celeron N,15.6 in,Silver,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 home,128 gb,HDD/SSD,"Bluetooth,  Built-in Webcam,  Built-in Microphone",New,No note from seller,$149.00 
5699,85264986490,Toshiba,Intel Core Duo,15.6 in,Unknown,4 GB,0,Intel,1.87 GHz,Notebook/Laptop,1366 x 768,not available,windows vista,500 gb,HDD,"Built-in Microphone,  Built-in Webcam,  Optical Drive,  Widescreen Display,  Wi-Fi",Used,No note from seller,$94.94 
5704,85264986495,Samsung,Intel Celeron,11.6 in,Silver,4 GB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,32 gb,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$99.51 
